x,y,group
148622,1167693,1_1_1
145741.8,1168952.3,1_1_1
139474.7,1175625.8,1_1_1
139576.5,1192514.5,1_1_1
139725.1,1209492.5,1_1_1
139801.5,1218294.9,1_1_1
139929.9,1237324.2,1_1_1
140056,1256298.7,1_1_1
140176.6,1272841.5,1_1_1
140279.4,1287102.6,1_1_1
140390.7,1297621.1,1_1_1
140580.5,1315703.4,1_1_1
140641.5,1320562.7,1_1_1
140821.1,1334948.2,1_1_1
141116.1,1358835.1,1_1_1
141285.8,1369326.1,1_1_1
141038.8,1371199.3,1_1_1
140938.4,1371961.5,1_1_1
139416.1,1383526.9,1_1_1
137054.8,1399367.7,1_1_1
135052.7,1412841.6,1_1_1
134901.3,1413862.3,1_1_1
131159.5,1438390.2,1_1_1
129192.2,1451169.8,1_1_1
128166.7,1457846.3,1_1_1
125803.5,1473268.3,1_1_1
122656.3,1495564.9,1_1_1
